Unnamed: 0,tweet_id,text
94,1.23955E+18,"Coincidence??? 
Many saying the Virus was actually Man-Made... 
#coronapocolypse 
#QuarantineLife 
#COVID19 https://t.co/GkuwpUvSMt"
95,1.23955E+18,"Anyone else hearing of a mandatory lockdown happening in the USA?
#coronavirus #COVID19 #Quarentine  #QArmy #QAnon https://t.co/K85nPYEyzI https://t.co/HVehUrlMFW"
96,1.23955E+18,"#COVID19 If you had tickets to #Opera or #Philharmonic, local or professional #theatre, #festivals or #concerts - please consider NOT asking for a refund and donate that ticket value to the organization.
@Philanthropy @TheatreCalgary @broadwaycom @nationalballet @albertaballet"
97,1.23955E+18,Women and girls already do most of the world’s unpaid care work #covid19 #womensmonthzim #Covid19zw #coronaviruszw #coronazw  #GenerationEquality #womenzw #womensmonthzim @WCOZIMBABWE @YoungWomenInst  @unwomenzw @ShamwariyeMwana  @GMCZimbabwe @SHDFZim  @NLinZimbabwe @ZWwomensmed
98,1.23955E+18,"#Lockdown
#quarantine
#Coronavirus
#Covid19

Is the post office going to be shut down? Will all of our bills be late and we'll have to pay a late charge?
What about gas stations? Will they shut down so no one can go anywhere?"
99,1.23955E+18,"#America is not ready for #Pandemic 
#COVID19 
#Democrats #Republicans care for #Donors that is all 
#UBIStimulus ignored by #Congress ~ 
Here we are I am so sad millions of Americans will die ~ For the Love of God ~ 
#FDR #Democrat is needed #BernieSanders is that for #Democrats"
100,1.23955E+18,My take on the tp shortage🧻🧻🧻🤷🏼‍♂️🤣 #tp #TPShortage2020 #tpmummy #COVID19 #CoronavirusPandemic #2020 #cornavirusmemes #newyorker @NewYorker @cottonelle @QuiltedNorthern https://t.co/DWFQiJ0WEi
101,1.23955E+18,"Election for #QueensBoroughPresident canceled over #coronavirus #covid19, @NYCMayor announces. @Costa4NY @ElizCrowleyNYC @Miranda4Queens @QuinnforQueens @RichardsForBP"
102,1.23955E+18,"We have updated our guidance to #villagehalls and #communitybuildings on #coronavirus #COVID19

Please see https://t.co/rXdYC0ypZK

#coronavirusuk #COVID_19uk #Somerset https://t.co/U6JEOIcf8P"
103,1.23955E+18,"Thank you to all the #doctors, #nurses, and #medicalstaff keeping us safe! We are grateful for you! God bless you. ❤️ 

#sarasota #bradenton #venicefl #CoronavirusUSA #Coronavirusflorida #COVID19 #COVIDー19 #Science https://t.co/Ene8X8FIyq"
104,1.23955E+18,Announcement at 11:00 a.m. today. My guess? Lockdown . #covidontario #covidtoronto #COVIDCanada #COVIDー19 #COVID19 #CP24
105,1.23955E+18,"Since we’re on lockdown, maybe my wife will become a gamer! Imagine all the time we could spend together! #gamers #QuarantineLife #COVID19"
106,1.23955E+18,This too! #coronavirus #COVID19 #SocialDistancing https://t.co/1O4eKSfVBV
107,1.23955E+18,❗ Please find relevant information regarding the impact of #COVID19 on #tourism in #Vienna on our website: https://t.co/ByRgPKAqC6 https://t.co/lwq767ShU3
108,1.23955E+18,"🗣Go home, stay home! This is NOT an extended vacation! Practice f2f #socialdistancing #FlattenTheCurve #COVID19 https://t.co/mS9hP5BbkA"
109,1.23955E+18,"@Mine_RSA Minerals Council South Africa: Position on #covid19 #coronavirus #Mining in #SouthAfrica

https://t.co/WJun2y0m3Y"
110,1.23955E+18,"#CoronavirusOutbreak: #SocialDistancing is a method prescribed to check spread of #COVID19 so that healthcare system is equipped to treat existing patients. Govts have recommended work-from-home, schools, universities have shut for a few weeks.

https://t.co/oM9yRZjXbH"
111,1.23955E+18,Your new favorite beat. #QuarantineLife #beatsforsale #beatstars #StayTheFHome #COVID19 https://t.co/9ARdWkQsMg
112,1.23955E+18,Have you noticed the #fakenews when there is one or two cases of #coronavirus #covid19 they show a map with a GIGANTIC RED DOT that covers the whole state or more
113,1.23955E+18,"Get the potato sticks kind. That way they will last longer?
#COVID19 #lockdown #QuarantineLife"
114,1.23955E+18,@realDonaldTrump #BogusPotus  fake @POTUS   #WeNeedCash #COVID19   #Botched  #GiveMeBackMY401K https://t.co/P4OvdvswbH
115,1.23955E+18,We are headed for a global recession. Do we all become Keynesians again when the crash hits? #covid19 #economiccrisis #marketcrash
116,1.23955E+18,"The #AzureMaps team has #opensource code available for #healthcare agencies &amp; others that would like to quickly build their own #COVID19  analysis reports 

https://t.co/tk0thztecc 

#coronavirus 
#dataviz 
#geospatial 
#github https://t.co/Y1Y1YFnp5L"
117,1.23955E+18,Great news. #Saudi_arabia announced recovery of 3 #COVID19 patients. Great jobs #saudi_moh #SaudiCDC https://t.co/tbhGaPKpFo
118,1.23955E+18,Week 2 working from home #COVID19 #WFH #staycalm
119,1.23955E+18,#BREAKING Kentucky reports first death due to #coronavirus #COVID19
120,1.23955E+18,"#StateOfEmergency in #Romania due to #COVID19.
The state will limit free movement, gradually close borders, limit all non-essential services, may limit the price of utilities, may temporarily nationalise public properties, may limit certain rights etc. Laws: military ordinances https://t.co/rVt2GcFgDQ"
121,1.23955E+18,"Good morning from #TheFortress ... The weather is sunny &amp; cool!
Today is a: #bikingday 
The 2020 #skiing &amp; #snowboarding season has ended abruptly due to #covid19 . At least our final day was a absolutely incredible… https://t.co/C5NPjAZ7RF"
122,1.23955E+18,"We have updated our guidance to #villagehalls and #communitybuildings on #coronavirus #COVID19

Please see https://t.co/0rxYoUE653

#coronavirusuk #COVID_19uk #Somerset https://t.co/qhsBJXGmlh"
123,1.23955E+18,"EU Commission - €164m for SMEs with #innovative #solutions to #Covid19. The deadline is Wednesday!!!

https://t.co/E5AurMkrvr

#coronavirus"
124,1.23955E+18,"Mont Tremblant (a day before its closed to avoid #COVID19 )
#StayAtHome #COVIDCanada #SocialDistancing https://t.co/xjtB5pikIu"
125,1.23955E+18,"I now hear that uni might be suspended until September?????? 
My first year's just been fucked 😭💔
#coronapocolypse #COVID19 #unistrike"
126,1.23955E+18,"Good #Monday morning, #Shopivo Community! Has your business been affected by #COVID19? What measures are you taking?

#askentrepreneur https://t.co/92PP5PiG3K"
127,1.23955E+18,This is the ☀️#COVID19 thread to bookmark. ❤️ #KindnessMatters #pinksocks https://t.co/CP4XU2Px9y
128,1.23955E+18,Now is the time to connect with friends and fam ❤️ #QuarantineLife #COVID19 #StayTheFHome #WeCanDoThis
129,1.23955E+18,"During this #Covid #Covid19 #CoronaVirus #Pandemic News, #Science Journals &amp; other informative websites should lower their paywalls in order to contribute #healthcare related info.  Many ppl in #business are closed, closing by fiat. Be a friend👇

Thanks from a grateful citizen."
130,1.23955E+18,Stay safe. Stay home. Wash your damn hands. #ottawa #covid19 #socialdistancing https://t.co/6Uw8NBnjSD
131,1.23955E+18,@WHO @MichaelSerapio @JustinTrudeau @fordnation @PattyHajdu If I were to put a #Richter #Scale #rating on the #COVID19 #pandemic/#epidemic and its related effects on #world #governments and the world's #PrivateSector; I would currently #rate it at a 9.6 on the #RichterScale
132,1.23955E+18,"Sustainable peace is our reality🌱
Protect our unique biosphere🐝
#STEM for Peacebuilding🐝
#SDG17 #GlobalGoals 🌲
#SDG3 #SDG9 🐝
#COVID19 
#circulareconomy
Respect the UN legacy🌳
@EU_Commission 
@SMEunited https://t.co/YaiTqTDPiv"
133,1.23955E+18,"https://t.co/nqFz8lv188

#COVID19 (#CoronavirusOutbreak) has started to disrupt the #supplychain in the hardest hit areas, such as in #Italia. Here is a great article from @3dpbmPulse about how #healthcare professionals in Italy are using #3DPrinting to #bridgethegap."
134,1.23955E+18,"Lets not kid ourselves, community spread has already begun in #Pakistan #COVID19 #coronavirusinpakistan #CoronavirusOutbreak 
Pic 1: March 13
Pic 2: March 16 1300 HRS
Pic 3: March 16 1800 HRS
Pic 4: Trend analysis Iran vs Pakistan (over 11 days) https://t.co/hmmyIN8Gae"
135,1.23955E+18,Love this idea. Thank you. #SmallBusinesses #Community #seattle #WeGotThis #COVID19 @KIRO7Seattle https://t.co/zmdMYNLAba
136,1.23955E+18,So this is my life now .. 👴🏽#coronapocolypse #COVID19  #crossword https://t.co/pCKJ8GFafK
137,1.23955E+18,"Xenniel here, but I completely agree with this! #SocialDistancing #COVID19 #coronavirus https://t.co/UKwFbkYtkH"
138,1.23955E+18,"In times of uncertainty, the opportunity is to rise up to remain connected and calm. #leadership #COVID19 #calm https://t.co/wiEHiIem7B"
139,1.23955E+18,"Get noodles.
Scratch that.
Get a bunch of potato chips
#COVID19 #lockdown #QuarantineLife"
140,1.23955E+18,"Wow, @realDonaldTrump !
No wonder you could bankrupt casinos.
#HighestDebtLevelSince1946 #BearMarket #YearOfTheRat #MMXX #RecessionIsComing 
#Pandemic #COVID19 • #nCoV • Novel #CoronaVirus • #Wuhan 2019-nCoV • #TrumpVirus • #SARS-CoV-2 • #CoVID_19 Lack of leadership. https://t.co/NYlGqjYLi6"
141,1.23955E+18,COVID-19 Response: State Bans Inter-School Games @TanzaniaIsrael #Africa #Tanzania #COVID19 #Health #Disease https://t.co/ztgHNyGqix
142,1.23955E+18,"#News1st #news #NewsPicks #Repost #BurkinaFaso #COVID19 #COVIDー19 #Covid19Walkout #covidontario #covidー19uk #CoronaVirusSA #coronaviruskenya #BreakingNews #BREAKING #CoronavirusOutbreak 

In Burkina Faso, COVID-19 fight complicated by war, displacement

https://t.co/u375VEGtz5"
143,1.23955E+18,"What Caused the #Oil Shock, and What Happens Next. It is up to #SaudiArabia, #Russia, and the U.S. government to determine the oil market's path. #oilprice https://t.co/bQqCFEJ9he #COVID19 #coronavirus"
144,1.23955E+18,QUEER VOICES HEARD: How is the #CoronavirusOutbreak affecting you? 🏳️‍🌈 #QueerVoicesHeard #COVID19 https://t.co/EYBqXpJnbv https://t.co/OeNErrZtYa
145,1.23955E+18,"#BreakingNews : #Odidha Govt sanctions Rs.225 crore from the State Disaster Response Fund (SDRF) to fight #COVID19 menace in the State.

#CoronaOdisha #CoronaVirusUpdate https://t.co/cGse5oeAUy"
146,1.23955E+18,"Confirmed cases by state (as of 16/03/2020), 5 pm

#coronavirus
#COVID19
#sihatmilikku
#walkthetalk https://t.co/7Vqrg9FMIU"
147,1.23955E+18,"#covid19  A day for #deepbreathing, #meditation, #strongwill and a #seatbelt.  

#Stocks on #WallStreet fell more than 10 percent on Monday, after an extraordinary move by the Federal Reserve aimed at shoring up confidence instead…https://t.co/rKTEb2nNW2 https://t.co/5ct3uZ1ey9"
